scenario,format,codec,repeat,first_wire_bytes,raw_bytes,wire_bytes,serialize_us,compress_us,decompress_us,parse_us,server_us,server_p95_us,client_us,asset_wire_bytes
battle1024-assets,delta,zstd1-w23,0,83085,45491.7,41728.6,112.5,51.6,31.7,137.0,164.1,171.2,168.7,4194400
battle1024-assets,snapshot,zstd3-w20,1,82769,205380.6,51991.4,258.3,525.2,76.3,945.6,783.5,831.9,1022.0,4194496
battle1024-assets,snapshot,zstd3-w23,1,82769,205380.6,51342.1,256.3,448.6,75.7,953.4,704.9,738.6,1029.1,4194496
battle1024-assets,compact,zstd1-w23,1,87723,126517.6,51145.5,201.0,179.8,56.2,656.9,380.8,405.5,713.2,4194400
battle1024-assets,compact,zstd3-w23,1,84530,126517.6,48130.7,199.9,392.5,59.9,655.3,592.4,632.5,715.2,4194496
battle1024-assets,snapshot,zstd1-independent,1,83078,205380.6,82572.5,249.1,358.1,108.8,942.0,607.2,625.0,1050.8,4194544
battle1024-assets,delta,raw,1,205244,45491.7,45491.7,111.1,4.1,1.4,134.3,115.2,119.3,135.7,4194304
battle1024-assets,delta,lz4-linked,1,107047,45491.7,45264.7,112.0,42.8,20.8,135.4,154.9,162.7,156.2,4194816
battle1024-assets,delta,zstd1-w23,1,83085,45491.7,41728.6,112.4,58.5,31.5,135.2,170.8,174.0,166.7,4194400
battle1024-assets,snapshot,raw,1,205228,205380.6,205380.6,254.3,25.2,7.0,939.3,279.4,277.0,946.3,4194304
battle1024-assets,snapshot,lz4-linked,1,107048,205380.6,107161.2,253.3,349.3,94.3,943.5,602.5,599.4,1037.7,4194816
battle1024-assets,snapshot,zstd1-w20,1,83078,205380.6,56056.1,248.6,248.8,78.2,937.8,497.4,599.0,1016.1,4194400
battle1024-assets,snapshot,zstd1-w23,1,83078,205380.6,56056.2,249.1,249.9,76.9,933.4,499.0,592.9,1010.3,4194400
battle1024-assets,snapshot,zstd1-independent,2,83078,205380.6,82572.5,245.2,359.0,109.1,937.8,604.2,630.9,1046.9,4194544
battle1024-assets,delta,raw,2,205244,45491.7,45491.7,112.9,4.8,1.4,136.1,117.7,122.9,137.5,4194304
battle1024-assets,delta,lz4-linked,2,107047,45491.7,45264.7,112.3,42.7,20.9,135.6,155.0,160.6,156.5,4194816
battle1024-assets,delta,zstd1-w23,2,83085,45491.7,41728.6,113.4,57.4,31.6,135.8,170.9,181.2,167.4,4194400
battle1024-assets,snapshot,raw,2,205228,205380.6,205380.6,255.8,27.0,7.0,933.2,282.7,275.3,940.2,4194304
battle1024-assets,snapshot,lz4-linked,2,107048,205380.6,107161.2,256.2,347.8,94.9,937.3,603.9,604.1,1032.2,4194816
battle1024-assets,snapshot,zstd1-w20,2,83078,205380.6,56056.1,246.3,251.8,77.6,939.2,498.1,600.8,1016.9,4194400
battle1024-assets,snapshot,zstd1-w23,2,83078,205380.6,56056.2,246.8,251.4,77.0,950.5,498.2,595.2,1027.5,4194400
battle1024-assets,snapshot,zstd3-w20,2,82769,205380.6,51991.4,246.1,518.4,74.9,934.8,764.5,809.6,1009.6,4194496
battle1024-assets,snapshot,zstd3-w23,2,82769,205380.6,51342.1,251.1,480.5,72.3,942.0,731.6,835.5,1014.3,4194496
battle1024-assets,compact,zstd1-w23,2,87723,126517.6,51145.5,199.9,183.9,55.9,653.2,383.8,409.0,709.0,4194400
battle1024-assets,compact,zstd3-w23,2,84530,126517.6,48130.7,198.5,404.3,59.4,648.5,602.8,636.8,707.9,4194496
