scenario,codec,repeat,raw_bytes,wire_bytes,asset_wire_bytes_per_tick,serialize_us,compress_cpu_us,asset_cpu_us_per_tick,compress_wall_p95_us,encoder_bytes
battle8192,zstd1-w22,2,1130899.9,636278.1,0.0,295.015,2090.060,0.000,2128.910,6088217
battle8192,zstd1-w23,2,1130899.9,636278.1,0.0,295.015,2100.918,0.000,2142.670,10282521
battle8192,zstd1-w24,2,1130899.9,636278.1,0.0,295.015,2117.619,0.000,2152.561,18671129
battle8192,zstd3-w16,2,1130899.9,635900.1,0.0,295.015,3105.368,0.000,3167.720,2303289
battle1024-assets,lz4-linked,0,141716.5,88315.1,26216.0,44.771,174.378,6.117,183.852,0
battle1024-assets,zstd-1-w16,0,141716.5,80691.5,26215.6,44.771,160.471,3.543,165.562,1025337
battle1024-assets,zstd-1-w18,0,141716.5,55606.2,26215.0,44.771,140.170,3.827,247.932,1599001
battle1024-assets,zstd-1-w20,0,141716.5,53818.5,26215.0,44.771,143.531,4.048,209.952,2385433
battle1024-assets,zstd-1-w22,0,141716.5,53818.5,26215.0,44.771,145.997,4.111,211.192,5531161
battle1024-assets,zstd-1-w23,0,141716.5,53818.5,26215.0,44.771,147.481,4.376,212.222,9725465
battle1024-assets,zstd-1-w24,0,141716.5,53818.5,26215.0,44.771,148.894,4.590,214.682,18114073
battle1024-assets,zstd1-w16,0,141716.5,79503.3,26215.6,44.771,220.727,4.629,230.122,1058105
battle1024-assets,zstd1-w18,0,141716.5,52378.4,26215.0,44.771,180.494,4.317,337.164,1631769
battle1024-assets,zstd1-w20,0,141716.5,49447.3,26215.0,44.771,175.957,4.513,190.702,2418201
battle1024-assets,zstd1-w22,0,141716.5,49447.3,26215.0,44.771,177.530,4.509,189.852,5563929
battle1024-assets,zstd1-w23,0,141716.5,49447.3,26215.0,44.771,177.590,4.821,189.042,9758233
battle1024-assets,zstd1-w24,0,141716.5,49447.3,26215.0,44.771,184.091,5.799,199.132,18146841
battle1024-assets,zstd3-w16,0,141716.5,79758.7,26215.6,44.771,411.071,5.879,435.414,1779001
battle1024-assets,zstd3-w18,0,141716.5,53848.3,26215.6,44.771,488.213,8.228,829.358,2352665
battle1024-assets,zstd3-w20,0,141716.5,49345.0,26215.6,44.771,427.356,7.647,453.534,3139097
battle1024-assets,zstd3-w22,0,141716.5,49346.7,26215.6,44.771,416.376,7.769,435.214,6284825
battle1024-assets,zstd3-w23,0,141716.5,49346.7,26215.6,44.771,400.884,7.752,417.154,10479129
